Campaign_ID,Ad_Spend_USD,Platform,Sales_Revenue_USD,Duration_Days
C001,2500,Google,7200,30
C002,1800,Facebook,5500,14
C003,3200,Google,8900,30
C004,1500,Instagram,4800,14
C005,4000,TV,10500,60
C006,2200,Facebook,6700,21
C007,3500,Google,9200,30
C008,2800,Google,7800,30
C009,1900,Facebook,5900,14
C010,4100,TV,10800,60
C011,1200,Instagram,4200,7
C012,3700,Google,9600,30
C013,2300,Facebook,7100,21
C014,3300,Google,8700,30
C015,2000,Facebook,6200,21
C016,4500,TV,11200,60
C017,1700,Instagram,5300,7
C018,3900,Google,9900,30
C019,2600,Facebook,7400,21
C020,3100,Google,8500,30